app,start,query,range,delay,duration
0,10000,q12,d_year = 2000 and d_moy between 1 and 11,67,75190
0,10000,q12,d_year = 2000 and d_moy between 1 and 10,77,71366
0,10000,q1,d_year = 2000 and d_moy between 1 and 9,78,101897
0,10000,q1,d_year = 2000 and d_moy between 1 and 10,78,101840
0,10000,q1,d_year = 2000 and d_moy between 1 and 10,78,96924
0,100000,q10,d_year = 2000 and d_moy between 1 and 2,43,99544
0,100000,q1,d_year = 2000 and d_moy between 1 and 9,44,95415
0,100000,q13,d_year = 2000 and d_moy between 1 and 9,44,86835
0,100000,q1,d_year = 2000 and d_moy between 1 and 10,44,67902
0,100000,q1,d_year = 2000 and d_moy between 1 and 9,44,61304
0,190000,q1,d_year = 2000 and d_moy between 1 and 8,17,62002
0,190000,q10,d_year = 2000 and d_moy between 1 and 3,18,50757
0,190000,q12,d_year = 2000 and d_moy between 1 and 10,18,24556
0,190000,q12,d_year = 2000 and d_moy between 1 and 11,19,23743
0,190000,q10,d_year = 2000 and d_moy between 1 and 3,19,52432
0,280000,q1,d_year = 2000 and d_moy between 1 and 7,7,65770
0,280000,q1,d_year = 2000 and d_moy between 1 and 8,8,64921
0,280000,q1,d_year = 2000 and d_moy between 1 and 10,9,73705
0,280000,q12,d_year = 2000,9,33398
0,280000,q1,d_year = 2000 and d_moy between 1 and 6,9,20911
0,370000,q1,d_year = 2000 and d_moy between 1 and 9,57,118284
0,370000,q13,d_year = 2000 and d_moy between 1 and 10,57,71175
0,370000,q10,d_year = 2000 and d_moy between 1 and 3,58,116952
0,370000,q12,d_year = 2000,58,68034
0,370000,q13,d_year = 2000 and d_moy between 1 and 9,67,54402
0,460000,q10,d_year = 2000 and d_moy between 1 and 2,44,75850
0,460000,q10,d_year = 2000 and d_moy between 1 and 3,45,67390
0,460000,q1,d_year = 2000 and d_moy between 1 and 10,45,65905
0,460000,q1,d_year = 2000 and d_moy between 1 and 6,45,67116
0,460000,q10,d_year = 2000 and d_moy between 1 and 3,46,35387
0,550000,q1,d_year = 2000 and d_moy between 1 and 8,92,70315
0,550000,q12,d_year = 2000 and d_moy between 1 and 10,93,48603
0,550000,q12,d_year = 2000 and d_moy between 1 and 10,93,46878
0,550000,q12,d_year = 2000 and d_moy between 1 and 10,93,50922
0,550000,q1,d_year = 2000 and d_moy between 1 and 10,93,32380
0,640000,q1,d_year = 2000 and d_moy between 1 and 6,48,58352
0,640000,q12,d_year = 2000 and d_moy between 1 and 11,48,22484
0,640000,q10,d_year = 2000 and d_moy between 1 and 2,48,57110
0,640000,q10,d_year = 2000 and d_moy between 1 and 3,52,57086
0,640000,q1,d_year = 2000 and d_moy between 1 and 9,53,43207
