range,time,rows
FALSE,286,1
FALSE,284,1
FALSE,305,1
FALSE,310,1
FALSE,263,1
FALSE,299,1
FALSE,322,1
FALSE,307,1
FALSE,271,1
FALSE,274,1
d_date = cast('2000-04-30' as date),3835,1
d_date = cast('2000-04-30' as date),3675,1
d_date = cast('2000-04-30' as date),3819,1
d_date = cast('2000-04-30' as date),3943,1
d_date = cast('2000-04-30' as date),3346,1
d_date = cast('2000-04-30' as date),3296,1
d_date = cast('2000-04-30' as date),3541,1
d_date = cast('2000-04-30' as date),3688,1
d_date = cast('2000-04-30' as date),3409,1
d_date = cast('2000-04-30' as date),3678,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3551,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3807,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3898,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3316,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3719,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3642,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3428,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3365,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3502,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3282,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3823,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3550,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3616,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3408,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3562,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3494,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3391,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3779,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3615,1
