range,time,rows
FALSE,231,0
FALSE,191,0
FALSE,231,0
FALSE,215,0
FALSE,284,0
FALSE,228,0
FALSE,244,0
FALSE,271,0
FALSE,208,0
FALSE,239,0
d_date = cast('2000-04-30' as date),2305,11138
d_date = cast('2000-04-30' as date),2275,11138
d_date = cast('2000-04-30' as date),2446,11138
d_date = cast('2000-04-30' as date),2383,11138
d_date = cast('2000-04-30' as date),2244,11138
d_date = cast('2000-04-30' as date),2291,11138
d_date = cast('2000-04-30' as date),2238,11138
d_date = cast('2000-04-30' as date),2023,11138
d_date = cast('2000-04-30' as date),2029,11138
d_date = cast('2000-04-30' as date),2151,11138
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2411,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2386,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2225,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2545,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2469,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2537,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2699,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2609,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2237,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2047,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),2479,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),2672,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),2983,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),2620,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),2601,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),2374,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),2472,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),2566,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),2657,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),2409,103904
d_year = 2000 and d_moy = 1,3155,142087
d_year = 2000 and d_moy = 1,3152,142087
d_year = 2000 and d_moy = 1,3241,142087
d_year = 2000 and d_moy = 1,2925,142087
d_year = 2000 and d_moy = 1,3221,142087
d_year = 2000 and d_moy = 1,3066,142087
d_year = 2000 and d_moy = 1,3254,142087
d_year = 2000 and d_moy = 1,3260,142087
d_year = 2000 and d_moy = 1,3183,142087
d_year = 2000 and d_moy = 1,2997,142087
d_year = 2000 and d_moy between 1 and 2,3849,149194
d_year = 2000 and d_moy between 1 and 2,4001,149194
d_year = 2000 and d_moy between 1 and 2,3865,149194
d_year = 2000 and d_moy between 1 and 2,3648,149194
d_year = 2000 and d_moy between 1 and 2,3854,149194
d_year = 2000 and d_moy between 1 and 2,3724,149194
d_year = 2000 and d_moy between 1 and 2,3656,149194
d_year = 2000 and d_moy between 1 and 2,3520,149194
d_year = 2000 and d_moy between 1 and 2,3821,149194
d_year = 2000 and d_moy between 1 and 2,3690,149194
d_year = 2000 and d_moy between 1 and 3,4357,149931
d_year = 2000 and d_moy between 1 and 3,4056,149931
d_year = 2000 and d_moy between 1 and 3,4250,149931
d_year = 2000 and d_moy between 1 and 3,4224,149931
d_year = 2000 and d_moy between 1 and 3,4284,149931
d_year = 2000 and d_moy between 1 and 3,4355,149931
d_year = 2000 and d_moy between 1 and 3,4097,149931
d_year = 2000 and d_moy between 1 and 3,4352,149931
d_year = 2000 and d_moy between 1 and 3,4283,149931
d_year = 2000 and d_moy between 1 and 3,4369,149931
d_year = 2000 and d_moy between 1 and 4,4843,149996
d_year = 2000 and d_moy between 1 and 4,4795,149996
