range,time,rows
FALSE,520,0
FALSE,443,0
FALSE,494,0
FALSE,667,0
FALSE,1277,0
FALSE,1274,0
FALSE,1079,0
FALSE,1139,0
FALSE,566,0
FALSE,809,0
d_date = cast('2000-04-30' as date),7331,1
d_date = cast('2000-04-30' as date),7365,1
d_date = cast('2000-04-30' as date),7713,1
d_date = cast('2000-04-30' as date),7342,1
d_date = cast('2000-04-30' as date),7461,1
d_date = cast('2000-04-30' as date),7432,1
d_date = cast('2000-04-30' as date),7608,1
d_date = cast('2000-04-30' as date),8062,1
d_date = cast('2000-04-30' as date),7571,1
d_date = cast('2000-04-30' as date),7521,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8936,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8061,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),7843,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8074,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8701,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8795,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),9283,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),7629,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8099,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8158,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8622,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8069,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),7965,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8165,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8755,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8293,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8240,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8658,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),9025,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),7725,780
d_year = 2000 and d_moy = 1,8914,3876
d_year = 2000 and d_moy = 1,8826,3876
d_year = 2000 and d_moy = 1,8895,3876
d_year = 2000 and d_moy = 1,9560,3876
d_year = 2000 and d_moy = 1,9375,3876
d_year = 2000 and d_moy = 1,8854,3876
d_year = 2000 and d_moy = 1,8986,3876
d_year = 2000 and d_moy = 1,8798,3876
d_year = 2000 and d_moy = 1,9042,3876
d_year = 2000 and d_moy = 1,8556,3876
d_year = 2000 and d_moy between 1 and 2,10298,10935
d_year = 2000 and d_moy between 1 and 2,10244,10935
d_year = 2000 and d_moy between 1 and 2,10003,10935
d_year = 2000 and d_moy between 1 and 2,9976,10935
d_year = 2000 and d_moy between 1 and 2,10928,10935
d_year = 2000 and d_moy between 1 and 2,10249,10935
d_year = 2000 and d_moy between 1 and 2,10315,10935
d_year = 2000 and d_moy between 1 and 2,10443,10935
d_year = 2000 and d_moy between 1 and 2,10624,10935
d_year = 2000 and d_moy between 1 and 2,11775,10935
d_year = 2000 and d_moy between 1 and 3,12860,20657
d_year = 2000 and d_moy between 1 and 3,12989,20657
d_year = 2000 and d_moy between 1 and 3,12486,20657
d_year = 2000 and d_moy between 1 and 3,12675,20657
d_year = 2000 and d_moy between 1 and 3,11950,20657
d_year = 2000 and d_moy between 1 and 3,12157,20657
d_year = 2000 and d_moy between 1 and 3,13265,20657
d_year = 2000 and d_moy between 1 and 3,12578,20657
d_year = 2000 and d_moy between 1 and 3,12089,20657
d_year = 2000 and d_moy between 1 and 3,11713,20657
