range,time,rows
FALSE,491,0
FALSE,361,0
FALSE,359,0
FALSE,303,0
FALSE,328,0
FALSE,361,0
FALSE,313,0
FALSE,282,0
FALSE,302,0
FALSE,295,0
d_date = cast('2000-04-30' as date),2919,35103
d_date = cast('2000-04-30' as date),3135,35103
d_date = cast('2000-04-30' as date),2694,35103
d_date = cast('2000-04-30' as date),2585,35103
d_date = cast('2000-04-30' as date),3028,35103
d_date = cast('2000-04-30' as date),2526,35103
d_date = cast('2000-04-30' as date),2692,35103
d_date = cast('2000-04-30' as date),2527,35103
d_date = cast('2000-04-30' as date),2852,35103
d_date = cast('2000-04-30' as date),2487,35103
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2761,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2730,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2938,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2964,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2785,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2768,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2987,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2782,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3047,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2829,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3455,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3491,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3350,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3626,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),4145,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3316,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3415,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3441,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3354,45009
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3262,45009
d_year = 2000 and d_moy = 1,5310,59792
d_year = 2000 and d_moy = 1,4885,59792
d_year = 2000 and d_moy = 1,5047,59792
d_year = 2000 and d_moy = 1,4381,59792
d_year = 2000 and d_moy = 1,4891,59792
d_year = 2000 and d_moy = 1,4871,59792
d_year = 2000 and d_moy = 1,4619,59792
d_year = 2000 and d_moy = 1,5151,59792
d_year = 2000 and d_moy = 1,4839,59792
d_year = 2000 and d_moy = 1,5180,59792
d_year = 2000 and d_moy between 1 and 2,6007,59792
d_year = 2000 and d_moy between 1 and 2,5561,59792
d_year = 2000 and d_moy between 1 and 2,5384,59792
