range,time,rows
FALSE,2348,0
FALSE,1597,0
FALSE,1565,0
FALSE,1759,0
FALSE,1566,0
FALSE,1408,0
FALSE,1015,0
FALSE,1388,0
FALSE,1100,0
FALSE,1329,0
d_date = cast('2000-04-30' as date),8214,1
d_date = cast('2000-04-30' as date),8292,1
d_date = cast('2000-04-30' as date),8540,1
d_date = cast('2000-04-30' as date),7773,1
d_date = cast('2000-04-30' as date),8119,1
d_date = cast('2000-04-30' as date),8038,1
d_date = cast('2000-04-30' as date),7717,1
d_date = cast('2000-04-30' as date),8413,1
d_date = cast('2000-04-30' as date),7567,1
d_date = cast('2000-04-30' as date),8281,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),9604,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),9079,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8656,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8631,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8920,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8676,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8721,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8811,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8789,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8606,220
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),10718,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),11318,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),10662,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),10612,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),10561,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),10497,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),10316,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),10570,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),10174,780
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),10675,780
d_year = 2000 and d_moy = 1,15833,3876
d_year = 2000 and d_moy = 1,15668,3876
d_year = 2000 and d_moy = 1,15963,3876
d_year = 2000 and d_moy = 1,17093,3876
d_year = 2000 and d_moy = 1,15524,3876
d_year = 2000 and d_moy = 1,15914,3876
d_year = 2000 and d_moy = 1,15699,3876
d_year = 2000 and d_moy = 1,15542,3876
d_year = 2000 and d_moy = 1,15641,3876
d_year = 2000 and d_moy = 1,15746,3876
d_year = 2000 and d_moy between 1 and 2,22958,10935
d_year = 2000 and d_moy between 1 and 2,23521,10935
d_year = 2000 and d_moy between 1 and 2,23442,10935
d_year = 2000 and d_moy between 1 and 2,23557,10935
d_year = 2000 and d_moy between 1 and 2,23745,10935
d_year = 2000 and d_moy between 1 and 2,23073,10935
d_year = 2000 and d_moy between 1 and 2,23426,10935
d_year = 2000 and d_moy between 1 and 2,23045,10935
d_year = 2000 and d_moy between 1 and 2,23673,10935
d_year = 2000 and d_moy between 1 and 2,23164,10935
d_year = 2000 and d_moy between 1 and 3,31862,20657
d_year = 2000 and d_moy between 1 and 3,32151,20657
