range,time,rows
FALSE,492,0
FALSE,466,0
FALSE,468,0
FALSE,436,0
FALSE,400,0
FALSE,357,0
FALSE,466,0
FALSE,391,0
FALSE,383,0
FALSE,350,0
d_date = cast('2000-04-30' as date),2413,11138
d_date = cast('2000-04-30' as date),2739,11138
d_date = cast('2000-04-30' as date),2583,11138
d_date = cast('2000-04-30' as date),2167,11138
d_date = cast('2000-04-30' as date),2123,11138
d_date = cast('2000-04-30' as date),2203,11138
d_date = cast('2000-04-30' as date),1972,11138
d_date = cast('2000-04-30' as date),2125,11138
d_date = cast('2000-04-30' as date),1981,11138
d_date = cast('2000-04-30' as date),1998,11138
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2603,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2896,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2525,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2854,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2412,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2676,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2687,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2620,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2359,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2713,70272
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3590,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3553,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3357,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3477,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3852,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3795,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3691,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3388,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3750,103904
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3793,103904
d_year = 2000 and d_moy = 1,5381,142087
d_year = 2000 and d_moy = 1,4756,142087
d_year = 2000 and d_moy = 1,4929,142087
