range,time,rows
d_date = cast('2000-04-30' as date),9203,1
d_date = cast('2000-04-30' as date),8593,1
d_date = cast('2000-04-30' as date),9070,1
d_date = cast('2000-04-30' as date),9603,1
d_date = cast('2000-04-30' as date),7847,1
d_date = cast('2000-04-30' as date),8041,1
d_date = cast('2000-04-30' as date),8285,1
d_date = cast('2000-04-30' as date),7693,1
d_date = cast('2000-04-30' as date),7740,1
d_date = cast('2000-04-30' as date),7211,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),9459,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8940,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8636,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),9339,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8422,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),9548,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8218,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),7920,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8035,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),8614,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8214,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8647,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8714,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),7809,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),7844,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8409,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),9173,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),7749,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),8559,100
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),9128,100
d_year = 2000 and d_moy = 1,10875,100
d_year = 2000 and d_moy = 1,9740,100
d_year = 2000 and d_moy = 1,9931,100
d_year = 2000 and d_moy = 1,10661,100
d_year = 2000 and d_moy = 1,9980,100
d_year = 2000 and d_moy = 1,9767,100
d_year = 2000 and d_moy = 1,10334,100
