range,time,rows
d_date = cast('2000-04-30' as date),4212,1
d_date = cast('2000-04-30' as date),4340,1
d_date = cast('2000-04-30' as date),3967,1
d_date = cast('2000-04-30' as date),4278,1
d_date = cast('2000-04-30' as date),4390,1
d_date = cast('2000-04-30' as date),3857,1
d_date = cast('2000-04-30' as date),3513,1
d_date = cast('2000-04-30' as date),3627,1
d_date = cast('2000-04-30' as date),3634,1
d_date = cast('2000-04-30' as date),3566,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),4323,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3923,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),4141,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3607,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3542,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3426,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),4113,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),3431,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),4670,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),4706,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3533,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3741,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),4750,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),4687,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),4687,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),3860,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),4580,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),4201,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),4834,1
d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),4285,1
d_year = 2000 and d_moy = 1,5380,1
d_year = 2000 and d_moy = 1,4693,1
d_year = 2000 and d_moy = 1,4663,1
d_year = 2000 and d_moy = 1,4543,1
d_year = 2000 and d_moy = 1,4354,1
d_year = 2000 and d_moy = 1,4823,1
d_year = 2000 and d_moy = 1,4158,1
d_year = 2000 and d_moy = 1,4688,1
d_year = 2000 and d_moy = 1,4612,1
d_year = 2000 and d_moy = 1,4755,1
d_year = 2000 and d_moy between 1 and 2,5794,1
d_year = 2000 and d_moy between 1 and 2,5658,1
d_year = 2000 and d_moy between 1 and 2,5561,1
d_year = 2000 and d_moy between 1 and 2,6038,1
d_year = 2000 and d_moy between 1 and 2,5242,1
d_year = 2000 and d_moy between 1 and 2,5274,1
d_year = 2000 and d_moy between 1 and 2,5284,1
d_year = 2000 and d_moy between 1 and 2,5213,1
d_year = 2000 and d_moy between 1 and 2,5985,1
d_year = 2000 and d_moy between 1 and 2,5122,1
d_year = 2000 and d_moy between 1 and 3,5982,1
d_year = 2000 and d_moy between 1 and 3,6302,1
d_year = 2000 and d_moy between 1 and 3,6266,1
d_year = 2000 and d_moy between 1 and 3,6211,1
d_year = 2000 and d_moy between 1 and 3,6268,1
d_year = 2000 and d_moy between 1 and 3,5962,1
d_year = 2000 and d_moy between 1 and 3,6798,1
d_year = 2000 and d_moy between 1 and 3,6450,1
d_year = 2000 and d_moy between 1 and 3,5958,1
d_year = 2000 and d_moy between 1 and 3,6516,1
d_year = 2000 and d_moy between 1 and 4,6845,1
d_year = 2000 and d_moy between 1 and 4,6702,1
d_year = 2000 and d_moy between 1 and 4,7123,1
d_year = 2000 and d_moy between 1 and 4,6732,1
d_year = 2000 and d_moy between 1 and 4,6670,1
d_year = 2000 and d_moy between 1 and 4,7504,1
d_year = 2000 and d_moy between 1 and 4,6729,1
d_year = 2000 and d_moy between 1 and 4,6753,1
d_year = 2000 and d_moy between 1 and 4,6939,1
d_year = 2000 and d_moy between 1 and 4,6350,1
d_year = 2000 and d_moy between 1 and 5,7973,1
d_year = 2000 and d_moy between 1 and 5,7612,1
d_year = 2000 and d_moy between 1 and 5,7749,1
d_year = 2000 and d_moy between 1 and 5,8040,1
d_year = 2000 and d_moy between 1 and 5,7743,1
d_year = 2000 and d_moy between 1 and 5,8238,1
d_year = 2000 and d_moy between 1 and 5,7469,1
d_year = 2000 and d_moy between 1 and 5,7783,1
d_year = 2000 and d_moy between 1 and 5,7569,1
d_year = 2000 and d_moy between 1 and 5,7764,1
d_year = 2000 and d_moy between 1 and 6,8860,1
d_year = 2000 and d_moy between 1 and 6,9007,1
d_year = 2000 and d_moy between 1 and 6,8574,1
d_year = 2000 and d_moy between 1 and 6,8815,1
d_year = 2000 and d_moy between 1 and 6,8537,1
d_year = 2000 and d_moy between 1 and 6,9715,1
d_year = 2000 and d_moy between 1 and 6,8555,1
d_year = 2000 and d_moy between 1 and 6,8883,1
d_year = 2000 and d_moy between 1 and 6,8761,1
d_year = 2000 and d_moy between 1 and 6,9051,1
d_year = 2000 and d_moy between 1 and 7,9466,1
