query,range,duration,min_duration,max_duration,rows
q13,d_year = 2000 or (d_year = 2001 and d_moy between 1 and 6),45086.1,24371,206906,1
q13,d_year = 2000 or d_year = 2001,38434.2,37764,39075,1
q7,d_date = cast('2000-04-30' as date),2504.6,2021,3185,100
q7,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),2274.8,2032,2760,100
q7,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '10' day)),2414.7,2101,3009,100
q7,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' day)),2322.7,1868,2980,100
q7,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),2902.8,2788,3176,100
q7,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '4' day)),2228.2,1996,2792,100
q7,d_year = 2000,12425.0,12081,13046,100
q7,d_year = 2000 and d_moy = 1,3010.8,2657,3518,100
q7,d_year = 2000 and d_moy between 1 and 10,8795.5,8580,8971,100
q7,d_year = 2000 and d_moy between 1 and 11,10889.7,10590,11278,100
q7,d_year = 2000 and d_moy between 1 and 2,3691.0,3313,4155,100
q7,d_year = 2000 and d_moy between 1 and 3,3935.9,3521,4753,100
q7,d_year = 2000 and d_moy between 1 and 4,4493.8,4100,5316,100
q7,d_year = 2000 and d_moy between 1 and 5,4967.7,4535,5735,100
q7,d_year = 2000 and d_moy between 1 and 6,5229.7,5058,5379,100
q7,d_year = 2000 and d_moy between 1 and 7,5714.8,5584,5905,100
q7,d_year = 2000 and d_moy between 1 and 8,6909.2,6798,7017,100
q7,d_year = 2000 and d_moy between 1 and 9,7795.7,7630,7954,100
q7,d_year = 2000 or (d_year = 2001 and d_moy between 1 and 6),26312.1,24900,29608,100
q7,d_year = 2000 or d_year = 2001,37614.0,36201,38729,100
