app,start,query,range,delay,duration
1,0,q10,d_year = 2000 and d_moy = 1,41,565409
1,0,q7,d_year = 2000 and d_moy between 1 and 11,46,219548
1,0,q13,d_year = 2000 and d_moy between 1 and 6,47,518859
1,0,q13,d_year = 2000 and d_moy between 1 and 7,48,487023
1,0,q7,d_year = 2000 and d_moy between 1 and 11,54,208776
1,0,q10,d_year = 2000 and d_moy = 1,54,592254
1,0,q1,d_year = 2000 and d_moy between 1 and 3,61,595802
1,0,q1,d_year = 2000 and d_moy between 1 and 3,66,597580
1,0,q1,d_year = 2000 and d_moy between 1 and 4,67,595189
1,166666,q10,d_date = cast('2000-04-30' as date),12,431032
1,179324,q1,d_year = 2000 and d_moy between 1 and 3,43,607651
1,192810,q12,d_year = 2000 and d_moy between 1 and 11,30,271973
1,207030,q7,d_year = 2000 and d_moy between 1 and 10,87,311839
1,219733,q7,d_year = 2000 and d_moy between 1 and 10,39,316780
1,233123,q7,d_year = 2000 and d_moy between 1 and 11,2,353718
1,248488,q13,d_year = 2000 and d_moy between 1 and 7,69,392973
1,263027,q13,d_year = 2000 and d_moy between 1 and 7,82,446069
1,277417,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),23,321863
1,290477,q12,d_year = 2000,90,301817
1,306262,q12,d_year = 2000,70,287413
1,323665,q7,d_year = 2000 and d_moy between 1 and 10,40,271607
1,336957,q12,d_year = 2000 and d_moy between 1 and 11,76,258441
1,352763,q10,d_date = cast('2000-04-30' as date),18,399988
1,366417,q1,d_year = 2000 and d_moy between 1 and 4,91,535242
1,382852,q1,d_year = 2000 and d_moy between 1 and 4,90,503441
1,399558,q13,d_year = 2000 and d_moy between 1 and 6,23,385631
1,413412,q13,d_year = 2000 and d_moy between 1 and 6,6,368119
1,426719,q1,d_year = 2000 and d_moy between 1 and 4,26,493950
1,443071,q13,d_year = 2000 and d_moy between 1 and 7,8,328306
1,458273,q7,d_year = 2000 and d_moy between 1 and 10,92,243258
1,472406,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),17,344350
1,486476,q13,d_year = 2000 and d_moy between 1 and 6,76,359201
1,500183,q12,d_year = 2000,22,265595
1,516521,q12,d_year = 2000 and d_moy between 1 and 11,23,308798
1,532594,q1,d_year = 2000 and d_moy between 1 and 4,10,561148
1,549619,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),37,399329
1,561982,q13,d_year = 2000 and d_moy between 1 and 7,0,424646
1,575884,q7,d_year = 2000 and d_moy between 1 and 10,90,306966
1,589727,q10,d_date = cast('2000-04-30' as date),79,460101
1,601551,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),52,363415
1,613798,q13,d_year = 2000 and d_moy between 1 and 6,59,355559
1,627039,q1,d_year = 2000 and d_moy between 1 and 4,44,444888
1,643825,q1,d_year = 2000 and d_moy between 1 and 3,48,481275
1,657729,q10,d_date = cast('2000-04-30' as date),71,314174
1,670408,q13,d_year = 2000 and d_moy between 1 and 7,18,306903
1,685310,q10,d_year = 2000 and d_moy = 1,47,270888
1,700906,q10,d_date = cast('2000-04-30' as date),34,316342
1,713454,q7,d_year = 2000 and d_moy between 1 and 11,51,159163
1,729414,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),24,267642
1,743621,q12,d_year = 2000,7,197717
1,759729,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),34,288847
1,773117,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '2' week)),1,286236
1,785813,q10,d_year = 2000 and d_moy = 1,65,322960
1,800767,q7,d_year = 2000 and d_moy between 1 and 10,48,170286
1,813239,q7,d_year = 2000 and d_moy between 1 and 11,1,198145
1,830189,q13,d_year = 2000 and d_moy between 1 and 6,85,358456
1,844047,q10,d_date between cast('2000-04-30' as date) and ((cast('2000-04-30' as date) + interval '1' week)),24,354763
